shipment_id,customer_id,route_id,origin_address,destination_address,weight_kg,package_type,service_type,pickup_date,estimated_delivery,actual_delivery,status,total_cost_idr,tracking_number
SHP00001,CUS0422,RTE014,"Jl. Melati No. 279, Jakarta","Jl. Asia Afrika No. 228, Pekanbaru",25.2,paket_besar,express,2023-08-17,2023-08-20,2023-08-23,delivered,793800,TRK2308170001
SHP00002,CUS0217,RTE029,"Jl. Setiabudi No. 233, Surabaya","Jl. Kenanga No. 196, Manado",5.8,paket_besar,regular,2023-12-20,2023-12-25,2023-12-30,delivered,98600,TRK2312200001
SHP00003,CUS0476,RTE053,"Jl. Kebon Jeruk No. 203, Makassar","Jl. Sudirman No. 192, Denpasar",39.1,paket_sedang,regular,2023-06-26,2023-06-30,2023-06-30,delivered,449650,TRK2306260001
SHP00004,CUS0425,RTE031,"Jl. Sudirman No. 213, Surabaya","Jl. Thamrin No. 8, Pekanbaru",1.4,paket_besar,express,2023-10-13,2023-10-16,2023-10-16,delivered,56700,TRK2310130001
SHP00005,CUS0586,RTE056,"Jl. Veteran No. 285, Makassar","Jl. Imam Bonjol No. 99, Kendari",30.9,paket_kecil,regular,2024-05-28,2024-05-31,2024-05-31,delivered,293550,TRK2405280001
SHP00006,CUS0400,RTE023,"Jl. Imam Bonjol No. 163, Surabaya","Jl. Anggrek No. 82, Denpasar",21.9,dokumen,regular,2024-10-29,2024-11-01,2024-11-01,delivered,208050,TRK2410290001
SHP00007,CUS0591,RTE051,"Jl. Setiabudi No. 134, Medan","Jl. Kenanga No. 82, Batam",47.4,paket_kecil,regular,2022-02-22,2022-02-26,2022-02-26,delivered,568800,TRK2202220001
SHP00008,CUS0157,RTE004,"Jl. Cempaka No. 279, Jakarta","Jl. Gatot Subroto No. 293, Bekasi",19.2,paket_besar,regular,2024-07-18,2024-07-19,2024-07-20,delivered,134400,TRK2407180001
SHP00009,CUS0367,RTE024,"Jl. Veteran No. 114, Surabaya","Jl. Pemuda No. 100, Bandung",26.8,paket_kecil,same_day,2024-02-14,2024-02-14,2024-02-16,delivered,944700,TRK2402140001
SHP00010,CUS0053,RTE036,"Jl. Gatot Subroto No. 74, Bandung","Jl. Kebon Jeruk No. 12, Solo",32.0,paket_sedang,regular,2022-08-16,2022-08-19,2022-08-20,delivered,304000,TRK2208160001
