route_id,origin_city,destination_city,distance_km,estimated_days_regular,estimated_days_express,price_per_kg_regular,price_per_kg_express
RTE001,Jakarta,Bandung,150,2,1,8000,17000
RTE002,Jakarta,Bogor,60,1,1,7500,16000
RTE003,Jakarta,Tangerang,30,1,1,7000,14000
RTE004,Jakarta,Bekasi,25,1,1,7000,15500
RTE005,Jakarta,Semarang,450,3,1,9500,22000
RTE006,Jakarta,Surabaya,780,4,2,11500,23000
RTE007,Jakarta,Yogyakarta,560,3,2,10500,23000
RTE008,Jakarta,Solo,550,3,2,10500,25000
RTE009,Jakarta,Malang,870,4,2,12000,28500
RTE010,Jakarta,Denpasar,1150,4,3,14000,33000
RTE011,Jakarta,Medan,1800,5,3,18000,37500
RTE012,Jakarta,Palembang,430,3,1,9500,19500
RTE013,Jakarta,Padang,1450,5,3,15500,32500
RTE014,Jakarta,Pekanbaru,1200,5,3,14000,31500
RTE015,Jakarta,Makassar,1600,5,3,16500,32500
RTE016,Jakarta,Manado,2400,7,3,21500,52500
RTE017,Jakarta,Balikpapan,1300,5,3,15000,36000
RTE018,Jakarta,Pontianak,750,4,3,11500,23500
RTE019,Jakarta,Banjarmasin,1100,4,3,13500,29500
RTE020,Surabaya,Malang,95,1,1,7500,16000
RTE021,Surabaya,Yogyakarta,330,3,1,9000,20000
RTE022,Surabaya,Semarang,350,3,1,9000,18000
RTE023,Surabaya,Denpasar,380,3,1,9500,21000
RTE024,Surabaya,Bandung,710,4,2,11500,23500
RTE025,Surabaya,Makassar,870,4,2,12000,24500
RTE026,Surabaya,Solo,260,2,1,8500,20000
RTE027,Surabaya,Medan,2300,6,3,21000,43000
RTE028,Surabaya,Balikpapan,950,4,2,12500,24000
RTE029,Surabaya,Manado,1700,5,3,17000,35000
RTE030,Surabaya,Palembang,1200,5,3,14000,27000
RTE031,Surabaya,Pekanbaru,1700,5,3,17000,40500
RTE032,Bandung,Bogor,130,2,1,8000,16000
RTE033,Bandung,Semarang,430,3,2,9500,19000
RTE034,Bandung,Yogyakarta,420,3,1,9500,22500
RTE035,Bandung,Surabaya,710,4,3,11500,26500
RTE036,Bandung,Solo,450,3,2,9500,21000
RTE037,Bandung,Malang,810,4,2,12000,22000
RTE038,Bandung,Cirebon,130,2,1,8000,17000
RTE039,Bandung,Denpasar,1100,4,2,13500,32000
RTE040,Semarang,Yogyakarta,120,2,1,7500,16000
RTE041,Semarang,Solo,100,2,1,7500,16000
RTE042,Semarang,Malang,420,3,1,9500,18500
RTE043,Semarang,Surabaya,350,3,1,9000,18000
RTE044,Semarang,Denpasar,750,4,2,11500,26000
RTE045,Semarang,Medan,2200,6,3,20000,45000
RTE046,Medan,Padang,640,3,2,11000,24000
RTE047,Medan,Pekanbaru,420,3,2,9500,21500
RTE048,Medan,Palembang,1350,5,3,15000,30000
RTE049,Medan,Banda Aceh,560,3,1,10500,25500
RTE050,Medan,Jakarta,1800,5,3,18000,39000
RTE051,Medan,Batam,870,4,2,12000,25500
RTE052,Makassar,Manado,1300,5,3,15000,28500
RTE053,Makassar,Denpasar,760,4,2,11500,27500
RTE054,Makassar,Balikpapan,780,4,2,11500,23000
RTE055,Makassar,Surabaya,870,4,3,12000,27000
RTE056,Makassar,Kendari,450,3,1,9500,19000
RTE057,Denpasar,Mataram,180,2,1,8000,18000
RTE058,Denpasar,Surabaya,380,3,1,9500,21500
RTE059,Denpasar,Lombok,200,2,1,8000,16500
RTE060,Denpasar,Makassar,760,4,3,11500,22000
RTE061,Denpasar,Yogyakarta,680,3,2,11000,21500
RTE062,Yogyakarta,Solo,60,1,1,7500,16000
RTE063,Yogyakarta,Malang,380,3,1,9500,20000
RTE064,Yogyakarta,Semarang,120,2,1,7500,14500
RTE065,Yogyakarta,Surabaya,330,3,1,9000,17000
RTE066,Yogyakarta,Bandung,420,3,1,9500,22500
RTE067,Balikpapan,Samarinda,120,2,1,7500,17000
RTE068,Balikpapan,Banjarmasin,420,3,2,9500,21500
RTE069,Balikpapan,Pontianak,980,4,3,13000,32000
RTE070,Balikpapan,Makassar,780,4,2,11500,27000
RTE071,Pekanbaru,Padang,290,2,1,8500,20500
RTE072,Pekanbaru,Palembang,760,4,3,11500,23000
RTE073,Pekanbaru,Medan,420,3,1,9500,23000
RTE074,Palembang,Lampung,420,3,1,9500,23000
RTE075,Palembang,Padang,1050,4,3,13500,28000
RTE076,Palembang,Jakarta,430,3,2,9500,18500
RTE077,Pontianak,Singkawang,140,2,1,8000,17500
RTE078,Pontianak,Balikpapan,980,4,2,13000,28000
RTE079,Pontianak,Jakarta,750,4,3,11500,22500
RTE080,Manado,Gorontalo,420,3,2,9500,22000
