record_id,shipment_id,status,update_timestamp,location,notes
RCD00001,SHP00001,pickup_confirmed,2023-08-17 00:00:00,Jakarta,Paket dijemput kurir
RCD00002,SHP00001,out_for_delivery,2023-08-19 19:22:00,Pekanbaru,Paket siap diantar ke alamat tujuan
RCD00003,SHP00001,delivered,2023-08-20 23:04:00,Pekanbaru,Berhasil diserahkan ke penerima
RCD00004,SHP00002,pickup_confirmed,2023-12-20 00:00:00,Surabaya,
RCD00005,SHP00002,arrived_at_hub,2023-12-25 12:19:00,Hub Manado,Sorting di hub Manado
RCD00006,SHP00002,delivered,2023-12-27 17:35:00,Manado,Delivered successfully
RCD00007,SHP00003,pickup_confirmed,2023-06-26 00:00:00,Makassar,Paket dijemput kurir
RCD00008,SHP00003,out_for_delivery,2023-06-28 20:13:00,Denpasar,Paket siap diantar ke alamat tujuan
RCD00009,SHP00003,delivered,2023-06-29 07:54:00,Denpasar,
RCD00010,SHP00004,pickup_confirmed,2023-10-13 00:00:00,Surabaya,Kurir telah menjemput paket
RCD00011,SHP00004,in_transit,2023-10-14 05:47:00,Transit Surabaya,Paket sedang dikirim menuju Pekanbaru
RCD00012,SHP00004,out_for_delivery,2023-10-15 05:34:00,Pekanbaru,Paket siap diantar ke alamat tujuan
RCD00013,SHP00004,delivered,2023-10-15 21:48:00,Pekanbaru,Delivered successfully
RCD00014,SHP00005,pickup_confirmed,2024-05-28 00:00:00,Makassar,Paket dijemput kurir
RCD00015,SHP00005,in_transit,2024-05-30 02:24:00,Transit Makassar,
RCD00016,SHP00005,delivered,2024-05-30 08:56:00,Kendari,Berhasil diserahkan ke penerima
RCD00017,SHP00006,pickup_confirmed,2024-10-29 00:00:00,Surabaya,Kurir telah menjemput paket
RCD00018,SHP00006,arrived_at_hub,2024-10-30 14:21:00,Hub Denpasar,
RCD00019,SHP00006,out_for_delivery,2024-10-31 07:51:00,Denpasar,
RCD00020,SHP00006,delivered,2024-10-31 16:13:00,Denpasar,Berhasil diserahkan ke penerima
RCD00021,SHP00007,pickup_confirmed,2022-02-22 00:00:00,Medan,Paket dijemput kurir
RCD00022,SHP00007,arrived_at_hub,2022-02-23 15:24:00,Hub Batam,Arrived at distribution center
RCD00023,SHP00007,delivered,2022-02-24 16:28:00,Batam,Paket diterima oleh penerima
RCD00024,SHP00008,pickup_confirmed,2024-07-18 00:00:00,Jakarta,Kurir telah menjemput paket
RCD00025,SHP00008,delivered,2024-07-19 18:28:00,Bekasi,Paket diterima oleh penerima
RCD00026,SHP00009,pickup_confirmed,2024-02-14 00:00:00,Surabaya,Kurir telah menjemput paket
RCD00027,SHP00009,arrived_at_hub,2024-02-15 02:58:00,Hub Bandung,Sorting di hub Bandung
RCD00028,SHP00009,delivered,2024-02-15 17:41:00,Bandung,
RCD00029,SHP00010,pickup_confirmed,2022-08-16 00:00:00,Bandung,Paket dijemput kurir
RCD00030,SHP00010,delivered,2022-08-19 12:14:00,Solo,Delivered successfully
RCD00031,SHP00011,pickup_confirmed,2023-03-02 00:00:00,Jakarta,Kurir telah menjemput paket
RCD00032,SHP00011,in_transit,2023-03-05 08:29:00,Transit Jakarta,Transit menuju kota tujuan
RCD00033,SHP00011,arrived_at_hub,2023-03-06 13:08:00,Hub Pekanbaru,
RCD00034,SHP00011,delivered,2023-03-06 15:48:00,Pekanbaru,
RCD00035,SHP00012,pickup_confirmed,2024-07-12 00:00:00,Jakarta,
RCD00036,SHP00012,in_transit,2024-07-12 20:00:00,Transit Jakarta,Paket sedang dikirim menuju Tangerang
RCD00037,SHP00012,arrived_at_hub,2024-07-13 12:41:00,Hub Tangerang,
RCD00038,SHP00012,out_for_delivery,2024-07-13 17:15:00,Tangerang,Kurir berangkat untuk pengantaran
RCD00039,SHP00012,delivered,2024-07-13 20:57:00,Tangerang,Delivered successfully
RCD00040,SHP00013,pickup_confirmed,2023-12-04 00:00:00,Bandung,Pickup confirmed di lokasi pengirim
RCD00041,SHP00013,arrived_at_hub,2023-12-07 14:07:00,Hub Denpasar,
RCD00042,SHP00013,delivered,2023-12-07 23:06:00,Denpasar,
RCD00043,SHP00014,pickup_confirmed,2023-01-30 00:00:00,Pontianak,Pickup confirmed di lokasi pengirim
RCD00044,SHP00014,delivered,2023-02-02 05:22:00,Jakarta,Paket diterima oleh penerima
RCD00045,SHP00015,pickup_confirmed,2022-03-02 00:00:00,Jakarta,Paket dijemput kurir
RCD00046,SHP00015,in_transit,2022-03-02 02:20:00,Transit Jakarta,Paket sedang dikirim menuju Tangerang
RCD00047,SHP00015,out_for_delivery,2022-03-02 14:24:00,Tangerang,Paket siap diantar ke alamat tujuan
RCD00048,SHP00015,delivered,2022-03-02 23:58:00,Tangerang,Paket diterima oleh penerima
RCD00049,SHP00016,pickup_confirmed,2023-08-26 00:00:00,Jakarta,Kurir telah menjemput paket
RCD00050,SHP00016,in_transit,2023-08-29 16:23:00,Transit Jakarta,Paket sedang dikirim menuju Medan
RCD00051,SHP00016,arrived_at_hub,2023-08-29 21:07:00,Hub Medan,Sorting di hub Medan
RCD00052,SHP00016,delivered,2023-08-31 06:46:00,Medan,
RCD00053,SHP00017,pickup_confirmed,2023-07-30 00:00:00,Makassar,Paket dijemput kurir
RCD00054,SHP00017,out_for_delivery,2023-07-30 18:22:00,Kendari,Kurir berangkat untuk pengantaran
RCD00055,SHP00017,delivered,2023-08-02 17:53:00,Kendari,Paket diterima oleh penerima
RCD00056,SHP00018,pickup_confirmed,2024-05-17 00:00:00,Palembang,Paket dijemput kurir
RCD00057,SHP00018,out_for_delivery,2024-05-19 01:49:00,Padang,Out for delivery
RCD00058,SHP00018,delivered,2024-05-21 21:28:00,Padang,Delivered successfully
RCD00059,SHP00019,pickup_confirmed,2022-05-12 00:00:00,Semarang,Pickup confirmed di lokasi pengirim
RCD00060,SHP00019,in_transit,2022-05-13 04:42:00,Transit Semarang,Transit menuju kota tujuan
RCD00061,SHP00019,out_for_delivery,2022-05-13 07:16:00,Solo,
RCD00062,SHP00019,delivered,2022-05-13 20:17:00,Solo,Berhasil diserahkan ke penerima
RCD00063,SHP00020,pickup_confirmed,2023-10-23 00:00:00,Yogyakarta,Pickup confirmed di lokasi pengirim
RCD00064,SHP00020,arrived_at_hub,2023-10-23 18:49:00,Hub Bandung,Arrived at distribution center
RCD00065,SHP00020,out_for_delivery,2023-10-24 01:05:00,Bandung,Paket siap diantar ke alamat tujuan
RCD00066,SHP00020,delivered,2023-10-24 02:56:00,Bandung,Berhasil diserahkan ke penerima
RCD00067,SHP00021,pickup_confirmed,2022-01-20 00:00:00,Medan,Paket dijemput kurir
RCD00068,SHP00021,in_transit,2022-01-21 02:54:00,Transit Medan,Dalam perjalanan ke Padang
RCD00069,SHP00021,delivered,2022-01-21 10:23:00,Padang,Paket diterima oleh penerima
RCD00070,SHP00022,pickup_confirmed,2023-08-04 00:00:00,Semarang,
RCD00071,SHP00022,out_for_delivery,2023-08-05 00:43:00,Surabaya,Out for delivery
RCD00072,SHP00022,delivered,2023-08-05 13:19:00,Surabaya,Delivered successfully
RCD00073,SHP00023,pickup_confirmed,2024-06-10 00:00:00,Surabaya,
RCD00074,SHP00023,in_transit,2024-06-11 08:44:00,Transit Surabaya,Transit menuju kota tujuan
RCD00075,SHP00023,delivered,2024-06-11 11:02:00,Balikpapan,Paket diterima oleh penerima
RCD00076,SHP00024,pickup_confirmed,2022-09-12 00:00:00,Surabaya,Kurir telah menjemput paket
RCD00077,SHP00024,in_transit,2022-09-12 13:46:00,Transit Surabaya,Dalam perjalanan ke Solo
RCD00078,SHP00024,arrived_at_hub,2022-09-13 00:07:00,Hub Solo,Paket tiba di hub Solo
RCD00079,SHP00024,delivered,2022-09-14 01:52:00,Solo,Berhasil diserahkan ke penerima
RCD00080,SHP00025,pickup_confirmed,2022-01-10 00:00:00,Palembang,Paket dijemput kurir
RCD00081,SHP00025,in_transit,2022-01-11 05:42:00,Transit Palembang,Transit menuju kota tujuan
RCD00082,SHP00025,arrived_at_hub,2022-01-11 19:23:00,Hub Jakarta,Paket tiba di hub Jakarta
RCD00083,SHP00025,out_for_delivery,2022-01-11 20:02:00,Jakarta,
